website	country	city
 https://www.embassypages.com/missions/embassy21975/	Mexico	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy2834/	Mexico	Manchester, Consulate
 https://www.embassypages.com/missions/embassy208/	Monaco	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy209/	Monaco	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy13472/	Mongolia	Belfast, Consulate
 https://www.embassypages.com/missions/embassy7554/	Mongolia	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy14626/	Montenegro	Strachur, Consulate
 https://www.embassypages.com/missions/embassy9233/	Namibia	Belfast, Consulate
 https://www.embassypages.com/missions/embassy18936/	Namibia	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy25/	Nauru	London, Consulate
 https://www.embassypages.com/missions/embassy5770/	Nepal	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy8445/	Netherlands	Aberdeen, Consulate
 https://www.embassypages.com/missions/embassy8446/	Netherlands	Belfast, Consulate
 https://www.embassypages.com/missions/embassy8447/	Netherlands	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy8448/	Netherlands	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy8456/	Netherlands	Dover, Vice Consulate
 https://www.embassypages.com/missions/embassy8449/	Netherlands	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy8457/	Netherlands	Guernsey, Consulate
 https://www.embassypages.com/missions/embassy8450/	Netherlands	Hull, Consulate
 https://www.embassypages.com/missions/embassy8451/	Netherlands	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy8454/	Netherlands	Southampton, Consulate
 https://www.embassypages.com/missions/embassy5135/	New Zealand	Belfast, Consulate
 https://www.embassypages.com/missions/embassy5136/	New Zealand	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy3628/	Norway	Aberdeen, Consulate
 https://www.embassypages.com/missions/embassy4451/	Norway	Barrow-in-Furness, Consulate
 https://www.embassypages.com/missions/embassy4412/	Norway	Belfast, Consulate
 https://www.embassypages.com/missions/embassy4455/	Norway	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy4454/	Norway	Bristol, Consulate
 https://www.embassypages.com/missions/embassy4465/	Norway	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy4474/	Norway	Dundee, Consulate
 https://www.embassypages.com/missions/embassy3635/	Norway	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy4469/	Norway	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy4397/	Norway	Grimsby, Consulate
 https://www.embassypages.com/missions/embassy4393/	Norway	Inverness, Consulate
 https://www.embassypages.com/missions/embassy4458/	Norway	Isle of Man, Consulate
 https://www.embassypages.com/missions/embassy3957/	Norway	Jersey, Consulate
 https://www.embassypages.com/missions/embassy4399/	Norway	Kirkwall, Consulate
 https://www.embassypages.com/missions/embassy3777/	Norway	Lerwick, Consulate
 https://www.embassypages.com/missions/embassy3774/	Norway	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy3810/	Norway	Manchester, Consulate
 https://www.embassypages.com/missions/embassy22970/	Norway	Newcastle upon Tyne, Consulate
 https://www.embassypages.com/missions/embassy3812/	Norway	Plymouth, Consulate
 https://www.embassypages.com/missions/embassy3814/	Norway	Southampton, Consulate
 https://www.embassypages.com/missions/embassy3820/	Norway	Stornoway, Consulate
 https://www.embassypages.com/missions/embassy10877/	Pakistan	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy10876/	Pakistan	Bradford, Consulate
 https://www.embassypages.com/missions/embassy10879/	Pakistan	Glasgow, Consulate General
 https://www.embassypages.com/missions/embassy10878/	Pakistan	Manchester, Consulate General
 https://www.embassypages.com/missions/embassy24732/	Palau	Leeds, Consulate
 https://www.embassypages.com/missions/embassy10180/	Philippines	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy22406/	Poland	Belfast, Consulate
 https://www.embassypages.com/missions/embassy20713/	Poland	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy20716/	Poland	Hull, Consulate
 https://www.embassypages.com/missions/embassy20714/	Poland	Jersey, Consulate
 https://www.embassypages.com/missions/embassy20717/	Poland	Kidderminster, Consulate
 https://www.embassypages.com/missions/embassy22405/	Poland	Manchester, Consulate General
 https://www.embassypages.com/missions/embassy11023/	Portugal	Belfast, Consulate
 https://www.embassypages.com/missions/embassy12571/	Portugal	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy11524/	Portugal	Jersey, Consulate
 https://www.embassypages.com/missions/embassy22972/	Portugal	Manchester, Consulate General
 https://www.embassypages.com/missions/embassy1416/	Romania	Bristol, Consulate
 https://www.embassypages.com/missions/embassy25734/	Romania	Inverness, Consulate
 https://www.embassypages.com/missions/embassy22967/	Romania	Leeds, Consulate
 https://www.embassypages.com/missions/embassy1406/	Romania	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy22968/	Romania	Newcastle upon Tyne, Consulate
 https://www.embassypages.com/missions/embassy22969/	Romania	Southampton, Consulate
 https://www.embassypages.com/missions/embassy22966/	Romania	Swansea, Consulate
 https://www.embassypages.com/missions/embassy20720/	Russia	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy22501/	Rwanda	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy26295/	Rwanda	Jersey, Consulate
 https://www.embassypages.com/missions/embassy12426/	Saint Vincent and the Grenadines	Belfast, Consulate
 https://www.embassypages.com/missions/embassy26288/	Saint Vincent and the Grenadines	Jersey, Consulate
 https://www.embassypages.com/missions/embassy5247/	Samoa	London, Consulate
 https://www.embassypages.com/missions/embassy5310/	San Marino	London, Consulate General
